"cell","n_records","y","toc_median","mask","n_sites","y_sd","x_lon","y_lat"
3305203,1,-0.59176003468815,0.246,"deep",1,NA,-139.75000473936,-1.84999996862599
3305773,1,0.242292904982931,1.737,"deep",1,NA,-82.7500028063115,-1.84999996862599
3308672,1,0.296665190261531,1.97,"deep",1,NA,-152.850005183622,-1.94999996693011
3308804,1,-0.0506099933550872,0.88,"deep",1,NA,-139.650004735969,-1.94999996693011
3308826,2,-0.958607314841775,0.1,"deep",1,NA,-137.45000466136,-1.94999996693011
3308871,1,-0.619788758288394,0.23,"deep",1,NA,-132.950004508751,-1.94999996693011
3308872,1,-0.619788758288394,0.23,"deep",1,NA,-132.850004505359,-1.94999996693011
3309777,1,-0.0351748821166112,0.9122,"deep",1,NA,-42.3500014362211,-1.94999996693011
3309785,1,-0.29627884007298,0.4955,"deep",1,NA,-41.5500014090906,-1.94999996693011
3312013,1,-0.2518119729938,0.55,"deep",1,NA,-178.750006061972,-2.04999996523422
3312397,1,-0.522878745280338,0.29,"deep",1,NA,-140.350004759708,-2.04999996523422
3312401,2,-0.573455235074067,0.26,"deep",1,NA,-139.950004746143,-2.04999996523422
3313383,1,-0.100945932001829,0.7826,"deep",1,NA,-41.7500014158732,-2.04999996523422
3313395,1,0.220108088040055,1.65,"deep",1,NA,-40.5500013751774,-2.04999996523422
3313407,1,-1.15490195998574,0.06,"deep",1,NA,-39.3500013344817,-2.04999996523422
3313814,1,-0.958607314841775,0.1,"deep",1,NA,1.35000004578274,-2.04999996523422
3313887,1,0.123851640967086,1.32,"deep",1,NA,8.65000029334857,-2.04999996523422
3314281,1,-0.2518119729938,0.55,"deep",1,NA,48.0500016295259,-2.04999996523422
3316980,2,-0.311073790496623,0.53,"shelf",2,NA,-42.0500014260471,-2.14999996353832
3316981,3,-0.439779402772215,0.27,"shelf",3,0.424090132754825,-41.9500014226558,-2.14999996353832
3316995,3,-0.257796595084573,0.58,"shelf",3,0.107531178653884,-40.5500013751774,-2.14999996353832
3317000,1,-0.958607314841775,0.1,"shelf",1,NA,-40.0500013582209,-2.14999996353832
3317001,1,0.00432137378264258,1,"shelf",1,NA,-39.9500013548296,-2.14999996353832
3317170,1,-0.0409586076789064,0.9,"deep",1,NA,-23.0500007816977,-2.14999996353832
3317299,1,-0.337242168318426,0.45,"deep",1,NA,-10.1500003442183,-2.14999996353832
3317302,2,-0.468521082957745,0.33,"deep",2,NA,-9.85000033404432,-2.14999996353832
3317485,1,0.0253058652647703,1.05,"deep",1,NA,8.45000028656594,-2.14999996353832
3320594,1,-0.431798275933005,0.36,"shelf",1,NA,-40.6500013785688,-2.24999996184243
3320600,1,-0.958607314841775,0.1,"shelf",1,NA,-40.0500013582209,-2.24999996184243
3320620,2,-0.337344814144469,0.45,"deep",1,NA,-38.0500012903946,-2.24999996184243
3321051,1,-0.537602002101044,0.28,"deep",1,NA,5.0500001712613,-2.24999996184243
3321052,4,-0.338438608205086,0.51,"deep",1,NA,5.15000017465263,-2.24999996184243
3322557,1,0.0253058652647703,1.05,"deep",1,NA,155.650005278579,-2.24999996184243
3323754,1,-0.0338582672609674,0.915,"deep",1,NA,-84.6500028707465,-2.34999996014653
3323785,2,0.501059262217751,3.16,"deep",1,NA,-81.5500027656158,-2.34999996014653
3324183,1,-0.638272163982407,0.22,"shelf",1,NA,-41.7500014158732,-2.34999996014653
3324184,1,-0.920818753952375,0.11,"shelf",1,NA,-41.6500014124819,-2.34999996014653
3324185,1,-0.853871964321762,0.13,"shelf",1,NA,-41.5500014090906,-2.34999996014653
3324201,1,-0.481486060122112,0.32,"shelf",1,NA,-39.9500013548296,-2.34999996014653
3324681,1,-0.113509274827518,0.76,"deep",1,NA,8.05000027300071,-2.34999996014653
3326520,2,-0.292429823902064,0.5,"deep",1,NA,-168.050005699102,-2.44999995845065
3327774,1,-1,0.09,"shelf",1,NA,-42.650001446395,-2.44999995845065
3327801,1,-0.431798275933005,0.36,"shelf",1,NA,-39.9500013548296,-2.44999995845065
3327807,2,-0.703911621302067,0.19,"deep",2,NA,-39.3500013344817,-2.44999995845065
3327851,1,-0.552841968657781,0.27,"deep",1,NA,-34.9500011852639,-2.44999995845065
3330406,1,-0.602059991327962,0.24,"deep",1,NA,-139.450004729186,-2.54999995675476
3331488,2,-0.22330124493806,0.588,"deep",1,NA,-31.2500010597853,-2.54999995675476
3335006,1,-0.508638306165727,0.3,"shelf",1,NA,-39.450001337873,-2.64999995505886
3335234,1,-1.04575749056068,0.08,"deep",1,NA,-16.6500005646536,-2.64999995505886
3338618,1,-0.468521082957745,0.33,"deep",1,NA,-38.2500012971772,-2.74999995336297
3341339,1,0.130333768495006,1.34,"deep",1,NA,-126.150004278141,-2.84999995166707
3342205,1,-0.42021640338319,0.37,"shelf",1,NA,-39.5500013412643,-2.84999995166707
3344658,1,-0.657577319177794,0.21,"deep",1,NA,-154.2500052311,-2.94999994997119
3344851,2,-0.619788758288394,0.23,"deep",2,NA,-134.950004576577,-2.94999994997119
3345335,1,0.27415784926368,1.87,"deep",1,NA,-86.5500029351814,-2.94999994997119
3345812,2,-0.368418767518892,0.42,"deep",2,NA,-38.8500013175251,-2.94999994997119
3346017,2,-0.0915149811213502,0.8,"deep",1,NA,-18.3500006223059,-2.94999994997119
3348892,1,0.0170333392987804,1.03,"deep",1,NA,-90.8500030810079,-3.0499999482753
3349413,1,-0.292429823902064,0.5,"shelf",1,NA,-38.7500013141338,-3.0499999482753
3349607,1,0.650307523131936,4.46,"deep",1,NA,-19.3500006562191,-3.0499999482753
3351365,2,-0.0457574905606751,0.89,"deep",1,NA,156.450005305709,-3.0499999482753
3353014,1,-0.337242168318426,0.45,"shelf",1,NA,-38.6500013107425,-3.1499999465794
3356614,1,-0.408935392973501,0.38,"shelf",1,NA,-38.6500013107425,-3.24999994488351
3359765,1,0.442479769064448,2.76,"deep",1,NA,-83.550002833442,-3.34999994318761
3360215,1,0.209515014542631,1.61,"shelf",1,NA,-38.5500013073512,-3.34999994318761
3363820,1,-0.154901959985743,0.69,"shelf",1,NA,-38.0500012903946,-3.44999994149173
3363821,2,-0.388122273171379,0.415,"deep",2,NA,-37.9500012870033,-3.44999994149173
3363975,2,-0.478869796655274,0.322,"deep",1,NA,-22.5500007647411,-3.44999994149173
3364125,3,-0.561595202278246,0.35,"deep",2,NA,-7.55000025604414,-3.44999994149173
3366949,1,0.195899652409234,1.56,"deep",1,NA,-85.150002887703,-3.54999993979584
3366951,1,-0.00612308505878879,0.976,"deep",1,NA,-84.9500028809204,-3.54999993979584
3367438,1,-0.301029995663981,0.49,"deep",1,NA,-36.250001229351,-3.54999993979584
3367636,4,-0.359043378740463,0.43,"deep",1,NA,-16.450000557871,-3.54999993979584
3367675,3,-0.495283621841521,0.32,"deep",2,NA,-12.5500004256098,-3.54999993979584
3367897,1,0.399673721481038,2.5,"deep",1,NA,9.65000032726169,-3.54999993979584
3367898,1,0.260071387985075,1.81,"deep",1,NA,9.75000033065302,-3.54999993979584
3369734,2,-0.275724130399211,0.52,"deep",1,NA,-166.650005651623,-3.64999993809994
3370124,1,0.385606273598312,2.42,"deep",1,NA,-127.650004329011,-3.64999993809994
3370561,2,0.219553400981348,1.6479,"deep",2,NA,-83.9500028470073,-3.64999993809994
3371018,1,-0.853871964321762,0.13,"shelf",1,NA,-38.2500012971772,-3.64999993809994
3371023,3,-0.307923703836612,0.5,"deep",2,NA,-37.7500012802207,-3.64999993809994
3371024,1,-0.167491087293764,0.67,"deep",1,NA,-37.6500012768294,-3.64999993809994
3371080,2,-0.481486060122112,0.32,"deep",1,NA,-32.0500010869158,-3.64999993809994
3371269,1,-0.552841968657781,0.27,"deep",1,NA,-13.1500004459577,-3.64999993809994
3374622,1,-0.744727494896694,0.17,"shelf",1,NA,-37.850001283612,-3.74999993640405
3374623,1,-0.119186407719209,0.75,"shelf",1,NA,-37.7500012802207,-3.74999993640405
3374880,1,-0.309803919971486,0.48,"deep",1,NA,-12.0500004086532,-3.74999993640405
3375098,2,0.17594644595198,1.4895,"deep",1,NA,9.75000033065302,-3.74999993640405
3378221,1,-0.537602002101044,0.28,"shelf",1,NA,-37.9500012870033,-3.84999993470815
3378222,1,-0.455931955649724,0.34,"shelf",1,NA,-37.850001283612,-3.84999993470815
3378224,2,-0.441198654154958,0.39,"deep",2,NA,-37.6500012768294,-3.84999993470815
3378451,1,-0.602059991327962,0.24,"deep",1,NA,-14.9500005070013,-3.84999993470815
