"region","lon","lat","obs","pred","e2","DI","AOA","dist_km","depth","exp_C0","exp_C1","exp_C2","exp_C3","exp_C4","exp_C5"
1,-73.7500025010934,-33.1499994378118,-0.1249387366083,0.0353954800612431,0.025707061035036,0.182156930121706,1,1735.07029471836,3660.52783203125,0.322039602067832,0.364344457955968,0.340424065736206,0.326642220713135,0.294906565710465,0.299765747191822
1,-71.9500024400497,-33.1499994378118,0.0569048513364726,0.363303269676548,0.0938799907612997,0.104575163877834,1,1764.85504220704,810.236083984375,0.301169543201761,0.302449077813171,0.313738843806594,0.3522578204535,0.292488379643904,0.320113693674501
1,-49.5500016803956,-33.1499994378118,-0.10790539730952,-0.114230673851724,4.00091233353593e-05,0.156970590219973,1,509.914012775423,1466.85424804688,0.313704124922208,0.353562747150429,0.320437239510775,0.29269426653428,0.303598656956596,0.301154348196282
1,-73.5500024943107,-33.2499994361159,-0.0222763947111523,0.0531126241701669,0.00568350416788791,0.210803099471014,1,1748.50287082515,3836.6943359375,0.335331206512846,0.372535074729046,0.351336490883527,0.342233835510735,0.303670159203493,0.304753192340923
1,-72.1500024468323,-33.2499994361159,0.100370545117563,0.428150176745722,0.107439486910292,0.206710943530525,1,1771.51398105779,1859.54858398438,0.333120553165589,0.371571553799509,0.35026407920392,0.419625295744538,0.317250919897861,0.310141181504508
1,-72.050002443441,-33.2499994361159,0.141847674558522,0.440723950126081,0.0893270280971357,0.22308838883654,1,1773.56799976845,1366.27770996094,0.342625800228392,0.375078084164602,0.356524926623585,0.431816060439957,0.329569978692057,0.320064696451613
1,168.750005722841,-33.2499994361159,0.123851640967086,-0.41100941495991,0.286076349147341,0.166704437868557,1,801.533630805693,2054.95141601562,0.316640194448061,0.358302853191783,0.323967535786232,0.340960536598504,0.300557159983241,0.298667014749044
1,-49.350001673613,-33.34999943442,-0.494850021680094,-0.24335326315012,0.0632506195510842,0.18938703548466,1,521.877099971328,2357.38891601562,0.324944688542547,0.366749725801425,0.331802252979778,0.311991619800309,0.306102228492904,0.298223492958676
1,-42.4500014396124,-33.4499994327241,0.152277575060221,-0.291899516285073,0.197293288475966,0.107950438997597,1,136.789208170348,4500.59033203125,0.301914863410073,0.307389098698542,0.296148746676131,0.276075217956113,0.262089096234413,0.264019092899653
1,-49.2500016702217,-33.5499994310282,-0.468521082957745,-0.188194562851835,0.0785829578746892,0.216932149520432,1,538.649056152688,2923.0625,0.338847009273383,0.373866197334982,0.341777118918102,0.317903667657067,0.310974845475725,0.301662139995194
1,-72.050002443441,-33.6499994293323,-0.0861861476162833,0.375951485528052,0.213571191968248,0.154650239845339,1,1816.9445534776,480.375,0.313047962954613,0.352280274143982,0.332103101236807,0.382090548078736,0.325482330535456,0.345376732462446
1,-72.2500024502237,-33.7499994276364,0.340444114840118,0.426032727150013,0.00732541055713349,0.215220340827977,1,1823.88274379015,1332.02087402344,0.337840343250979,0.373507422053853,0.354582249498486,0.424630281377464,0.326875556289509,0.318621408519614
1,-72.1500024468323,-33.7499994276364,0.20682587603185,0.392380488842467,0.0344305143352981,0.149023926063595,1,1825.81361870363,1036.99304199219,0.311517626787336,0.348881136443195,0.330277603920806,0.382999179768664,0.306792226765492,0.314807116659229
1,-72.1500024468323,-33.8499994259405,0.0530784434834198,0.349098194144816,0.0876276927816354,0.150338510734868,1,1836.68261586848,562.291687011719,0.31186792321819,0.349714107173476,0.330961620404132,0.374748737724176,0.320015543241072,0.337936875762374
1,-48.6500016498738,-34.0499994225488,0.0334237554869497,-0.300727428742219,0.111657013921756,0.221319981027917,1,573.832104903749,3376.33349609375,0.341514924809431,0.374742129041565,0.343401516406859,0.335919450341536,0.308947920575901,0.301769574970513
