"cell","x_lon","y_lat","n_records","n_sites","y","toc_median","y_sd","mask","sbt_mean","sbt_min","sbt_max","sbs_mean","o2b_mean","sst_mean","sss_mean","chl_mean","phyc_bot","sws_bot","depth","slope","tri","tpi","dist_coast_km","poc_surf","poc_flux","river_poc","river_tss","sed_thick","gs_d50","gs_d16","porosity","litho_gs","litho_t1","litho_t2","litho_t3","litho_t4","litho_t5","litho_t6","block","fold","region"
1794501,-9.95000033743565,40.1499993190993,2,1,-0.0609402576514163,0.86,NA,"deep",6.70632743835449,5.58699369430542,9.86599349975586,35.4973030090332,220.216903686523,17.3015022277832,35.7629776000977,-0.51078873872757,-1.4985283613205,-1.59848749637604,1891.47924804688,0.932246088981628,2.72467041015625,190.138885498047,1.96274876594543,2.02689647674561,0.931400716304779,-3.59244894981384,-1.37023138999939,3.12771701812744,-1.25651609897614,-1.89267766475677,71.0646667480469,-0.409799367189407,0.810341656208038,0.189658343791962,0,0,0,0,"-1 4",2,"2 NE Atlantic"
1794502,-9.85000033404432,40.1499993190993,2,2,-0.36165423557748,0.45,NA,"deep",11.3652381896973,9.96920585632324,12.0927124023438,36.2111701965332,188.692123413086,17.2480945587158,35.7254791259766,-0.421567976474762,-1.35732758045197,-0.964971363544464,1114.13195800781,0.597383677959442,2.40373706817627,102.3984375,1.92085468769073,2.03690910339355,1.13863754272461,-3.480788230896,-1.27663505077362,3.03514075279236,-1.54512751102448,-1.9412157535553,70.0546569824219,0.0721265599131584,0,1,0,0,0,0,"-1 4",2,"2 NE Atlantic"
1794504,-9.65000032726169,40.1499993190993,2,1,-1.12981865525288,0.07,NA,"deep",12.1762733459473,11.3107032775879,13.4193058013916,35.6873092651367,191.295761108398,17.0596504211426,35.6267471313477,-0.282246351242065,-1.38589799404144,-2.14188814163208,397.506958007812,0.311861127614975,2.08681392669678,15.2673606872559,1.82290887832642,2.10695767402649,1.59271991252899,-3.46184635162354,-1.2539347410202,3.04351472854614,-1.56645810604095,-1.82832288742065,65.2050170898438,0.0969100147485733,0,1,0,0,0,0,"-1 4",2,"2 NE Atlantic"
1794508,-9.25000031369646,40.1499993190993,2,1,-0.714728530059051,0.205,NA,"shelf",13.7228078842163,12.35582447052,15.5979843139648,35.7986030578613,184.102905273438,16.590747833252,35.4078598022461,0.0386650115251541,-0.514789581298828,-2.40439534187317,105.534721374512,-0.803086519241333,0.986872732639313,1.70312452316284,1.52429986000061,2.20522141456604,2.18514823913574,-3.48631358146667,-1.24224019050598,3.4449417591095,-1.55474102497101,-1.69086003303528,62.7555046081543,0.0969100147485733,0,1,0,0,0,0,"-1 4",2,"2 NE Atlantic"
1794511,-8.95000030352253,40.1499993190993,1,1,-0.958607314841775,0.1,NA,"shelf",15.0906057357788,12.4933824539185,19.3179702758789,35.363597869873,239.212554931641,15.9998550415039,35.1306037902832,0.124285325407982,0.584088742733002,-1.27313446998596,26.7986106872559,-0.627667307853699,1.14463090896606,-1.95138919353485,0.993246734142303,2.33225250244141,2.33225250244141,-3.82931900024414,-1.60111284255981,3.38860440254211,-1.39037430286407,-1.84556150436401,67.9778900146484,0.0969100147485733,0,0.980989038944244,0,0,0,0,"-1 4",2,"2 NE Atlantic"
1794616,1.55000005256534,40.1499993190993,1,1,-0.229147988357856,0.58,NA,"deep",12.9777164459229,12.8020820617676,13.1628513336182,38.4922409057617,179.746643066406,19.4104804992676,37.8174285888672,-0.600471436977386,-1.58396089076996,-1.92353081703186,1446.21533203125,-0.178372949361801,1.62214398384094,5.23784637451172,1.98517620563507,1.87858211994171,0.883102297782898,-3.64537024497986,-1.45373821258545,3.04764294624329,-2.17314386367798,-2.89857006072998,71.4776763916016,-1.30103003978729,1,0,0,0,0,0,"0 4",1,"2 NE Atlantic"
1794618,1.75000005934797,40.1499993190993,1,1,-0.508638306165727,0.3,NA,"deep",12.9585151672363,12.7958755493164,13.1111640930176,38.493221282959,182.659072875977,19.4052925109863,37.8094825744629,-0.627606809139252,-1.58397948741913,-2.03520727157593,1651.89587402344,-0.0932821333408356,1.69652783870697,0.958335876464844,2.0394241809845,1.87434184551239,0.829312741756439,-3.66964435577393,-1.47123444080353,3.08495116233826,-2.21432042121887,-2.84216451644897,71.5816650390625,-1.30103003978729,1,0,0,0,0,0,"0 4",1,"2 NE Atlantic"
1794625,2.45000008308716,40.1499993190993,1,1,0.0827853703164501,1.2,NA,"deep",12.9594717025757,12.7918157577515,13.0800857543945,38.4910354614258,185.309509277344,19.4697246551514,37.6993064880371,-0.670717120170593,-1.55569100379944,-1.89130198955536,1707.29858398438,-0.25649693608284,1.6134637594223,-5.6102409362793,2.12486743927002,1.8467606306076,0.789439082145691,-3.59009480476379,-1.29080355167389,3.18932366371155,-2.06077027320862,-2.79835295677185,71.9101181030273,-1.30100774765015,1,0,0,0,0,0,"0 4",1,"2 NE Atlantic"
1795805,120.450004084837,40.1499993190993,1,1,-1.15490195998574,0.06,NA,"shelf",12.4988059997559,-1.04295182228088,27.1002426147461,28.6400146484375,284.502471923828,12.5577354431152,28.6362075805664,-0.376273185014725,0.435671716928482,-1.6809469461441,5.27083349227905,-1.24495136737823,0.678633749485016,2.44401025772095,1.24140822887421,2.67932200431824,2.67932200431824,-2.84403228759766,-0.667864680290222,3.39171624183655,-0.511983156204224,-0.897672057151794,66.6240081787109,0.0969100147485733,0.0190109461545944,0,0,0,0,0,"10 4",4,"8 W Pacific"
1795806,120.550004088228,40.1499993190993,1,1,-0.387216143280264,0.4,NA,"shelf",12.0264234542847,-0.813632011413574,26.0196151733398,28.7993221282959,289.758605957031,12.6195678710938,28.6894683837891,-0.383432596921921,0.505670070648193,-1.71732664108276,11.8333339691162,-1.28377366065979,0.554266154766083,0.819791257381439,1.31292605400085,2.66497611999512,2.66497611999512,-2.14785146713257,0.0345390737056732,3.44601702690125,-0.512560904026031,-0.900607168674469,67.1938171386719,0.0969100147485733,0.00530211394652724,0.721101999282837,0,0,0,0,"10 4",4,"8 W Pacific"
